any;municipi;concepte;estat;valor
2016;Tortellà;població amb estudis baixos;..;null
2016;Tortellà;població jove sense estudis postobligatoris;..;null
2016;Tortellà;estrangers de països de renda baixa o mitjana;;82,2
2016;Tortellà;renda mitjana per persona;;97,3
2016;Tortosa;població ocupada;;86,0
2016;Tortosa;treballadors de baixa qualificació;;107,2
2016;Tortosa;població amb estudis baixos;..;null
2016;Tortosa;població jove sense estudis postobligatoris;..;null
2016;Tortosa;estrangers de països de renda baixa o mitjana;;112,2
2016;Tortosa;renda mitjana per persona;;90,3
2016;Toses;població ocupada;;131,8
2016;Toses;treballadors de baixa qualificació;..;null
2016;Toses;població amb estudis baixos;..;null
2016;Toses;població jove sense estudis postobligatoris;..;null
2016;Toses;estrangers de països de renda baixa o mitjana;;85,2
2016;Toses;renda mitjana per persona;;101,8
2016;Tossa de Mar;població ocupada;;93,7
2016;Tossa de Mar;treballadors de baixa qualificació;;95,7
2016;Tossa de Mar;població amb estudis baixos;..;null
2016;Tossa de Mar;població jove sense estudis postobligatoris;..;null
2016;Tossa de Mar;estrangers de països de renda baixa o mitjana;;100,6
2016;Tossa de Mar;renda mitjana per persona;;92,9
2016;Tremp;població ocupada;;93,9
2016;Tremp;treballadors de baixa qualificació;;108,8
2016;Tremp;població amb estudis baixos;..;null
2016;Tremp;població jove sense estudis postobligatoris;..;null
2016;Tremp;estrangers de països de renda baixa o mitjana;;107,2
2016;Tremp;renda mitjana per persona;;92,6
2016;Ullà;població ocupada;;95,6
2016;Ullà;treballadors de baixa qualificació;;143,4
2016;Ullà;població amb estudis baixos;..;null
2016;Ullà;població jove sense estudis postobligatoris;..;null
2016;Ullà;estrangers de països de renda baixa o mitjana;;143,8
2016;Ullà;renda mitjana per persona;;80,3
2016;Ullastrell;població ocupada;;127,2
2016;Ullastrell;treballadors de baixa qualificació;;87,7
2016;Ullastrell;població amb estudis baixos;..;null
2016;Ullastrell;població jove sense estudis postobligatoris;..;null
2016;Ullastrell;estrangers de països de renda baixa o mitjana;;80,8
2016;Ullastrell;renda mitjana per persona;;102,5
2016;Ullastret;població ocupada;;124,0
2016;Ullastret;treballadors de baixa qualificació;..;null
2016;Ullastret;població amb estudis baixos;..;null
2016;Ullastret;població jove sense estudis postobligatoris;..;null
2016;Ullastret;estrangers de països de renda baixa o mitjana;;84,8
2016;Ullastret;renda mitjana per persona;;98,9
2016;Ulldecona;població ocupada;;67,1
2016;Ulldecona;treballadors de baixa qualificació;;133,8
2016;Ulldecona;població amb estudis baixos;..;null
2016;Ulldecona;població jove sense estudis postobligatoris;..;null
2016;Ulldecona;estrangers de països de renda baixa o mitjana;;126,3
2016;Ulldecona;renda mitjana per persona;;79,5
2016;Ulldemolins;població ocupada;;120,6
2016;Ulldemolins;treballadors de baixa qualificació;..;null
2016;Ulldemolins;població amb estudis baixos;..;null
2016;Ulldemolins;població jove sense estudis postobligatoris;..;null
2016;Ulldemolins;estrangers de països de renda baixa o mitjana;;86,7
2016;Ulldemolins;renda mitjana per persona;;91,0
2016;Ultramort;població ocupada;;119,6
2016;Ultramort;treballadors de baixa qualificació;..;null
2016;Ultramort;població amb estudis baixos;..;null
2016;Ultramort;població jove sense estudis postobligatoris;..;null
2016;Ultramort;estrangers de països de renda baixa o mitjana;;88,8
2016;Ultramort;renda mitjana per persona;;96,6
2016;Urús;població ocupada;;103,6
2016;Urús;treballadors de baixa qualificació;..;null
2016;Urús;població amb estudis baixos;..;null
2016;Urús;població jove sense estudis postobligatoris;..;null
2016;Urús;estrangers de països de renda baixa o mitjana;;82,5
2016;Urús;renda mitjana per persona;;124,6
2016;Vacarisses;població ocupada;;113,0
2016;Vacarisses;treballadors de baixa qualificació;;91,1
2016;Vacarisses;població amb estudis baixos;..;null
2016;Vacarisses;població jove sense estudis postobligatoris;..;null
2016;Vacarisses;estrangers de països de renda baixa o mitjana;;82,3
2016;Vacarisses;renda mitjana per persona;;98,4
2016;Vajol, la;població ocupada;;93,9
2016;Vajol, la;treballadors de baixa qualificació;..;null
2016;Vajol, la;població amb estudis baixos;..;null
2016;Vajol, la;població jove sense estudis postobligatoris;..;null
2016;Vajol, la;estrangers de països de renda baixa o mitjana;;101,2
2016;Vajol, la;renda mitjana per persona;;98,6
2016;Vall d'en Bas, la;població ocupada;;135,6
2016;Vall d'en Bas, la;treballadors de baixa qualificació;;89,7
2016;Vall d'en Bas, la;població amb estudis baixos;..;null
2016;Vall d'en Bas, la;població jove sense estudis postobligatoris;..;null
2016;Vall d'en Bas, la;estrangers de països de renda baixa o mitjana;;81,6
2016;Vall d'en Bas, la;renda mitjana per persona;;106,7
2016;Vall de Bianya, la;població ocupada;;131,1
2016;Vall de Bianya, la;treballadors de baixa qualificació;;88,1
2016;Vall de Bianya, la;població amb estudis baixos;..;null
2016;Vall de Bianya, la;població jove sense estudis postobligatoris;..;null
2016;Vall de Bianya, la;estrangers de països de renda baixa o mitjana;;83,8
2016;Vall de Bianya, la;renda mitjana per persona;;102,8
2016;Vall de Boí, la;població ocupada;;107,7
2016;Vall de Boí, la;treballadors de baixa qualificació;;95,9
2016;Vall de Boí, la;població amb estudis baixos;..;null
2016;Vall de Boí, la;població jove sense estudis postobligatoris;..;null
2016;Vall de Boí, la;estrangers de països de renda baixa o mitjana;;92,8
2016;Vall de Boí, la;renda mitjana per persona;;104,8
2016;Vall de Cardós;població ocupada;;113,3
2016;Vall de Cardós;treballadors de baixa qualificació;..;null
2016;Vall de Cardós;població amb estudis baixos;..;null
2016;Vall de Cardós;població jove sense estudis postobligatoris;..;null
2016;Vall de Cardós;estrangers de països de renda baixa o mitjana;;87,1
2016;Vall de Cardós;renda mitjana per persona;;105,5
2016;Vallbona d'Anoia;població ocupada;;96,6
2016;Vallbona d'Anoia;treballadors de baixa qualificació;;97,5
2016;Vallbona d'Anoia;població amb estudis baixos;..;null
2016;Vallbona d'Anoia;població jove sense estudis postobligatoris;..;null
2016;Vallbona d'Anoia;estrangers de països de renda baixa o mitjana;;90,6
2016;Vallbona d'Anoia;renda mitjana per persona;;95,9
2016;Vallbona de les Monges;població ocupada;;114,4
2016;Vallbona de les Monges;treballadors de baixa qualificació;..;null
2016;Vallbona de les Monges;població amb estudis baixos;..;null
2016;Vallbona de les Monges;població jove sense estudis postobligatoris;..;null
2016;Vallbona de les Monges;estrangers de països de renda baixa o mitjana;;83,3
2016;Vallbona de les Monges;renda mitjana per persona;;98,5
2016;Vallcebre;població ocupada;;83,4
2016;Vallcebre;treballadors de baixa qualificació;..;null
2016;Vallcebre;població amb estudis baixos;..;null
2016;Vallcebre;població jove sense estudis postobligatoris;..;null
2016;Vallcebre;estrangers de països de renda baixa o mitjana;;79,1
2016;Vallcebre;renda mitjana per persona;;111,7
2016;Vallclara;població ocupada;;122,6
2016;Vallclara;treballadors de baixa qualificació;..;null
2016;Vallclara;població amb estudis baixos;..;null
2016;Vallclara;població jove sense estudis postobligatoris;..;null
2016;Vallclara;estrangers de països de renda baixa o mitjana;;90,2
2016;Vallclara;renda mitjana per persona;;99,3
2016;Vallfogona de Balaguer;població ocupada;;123,8
2016;Vallfogona de Balaguer;treballadors de baixa qualificació;;108,7
2016;Vallfogona de Balaguer;població amb estudis baixos;..;null
2016;Vallfogona de Balaguer;població jove sense estudis postobligatoris;..;null
2016;Vallfogona de Balaguer;estrangers de països de renda baixa o mitjana;;98,1
2016;Vallfogona de Balaguer;renda mitjana per persona;;94,2
2016;Vallfogona de Ripollès;població ocupada;;137,6
2016;Vallfogona de Ripollès;treballadors de baixa qualificació;..;null
2016;Vallfogona de Ripollès;població amb estudis baixos;..;null
2016;Vallfogona de Ripollès;població jove sense estudis postobligatoris;..;null
2016;Vallfogona de Ripollès;estrangers de països de renda baixa o mitjana;;82,2
2016;Vallfogona de Ripollès;renda mitjana per persona;;103,6
2016;Vallfogona de Riucorb;població ocupada;;97,2
2016;Vallfogona de Riucorb;treballadors de baixa qualificació;..;null
2016;Vallfogona de Riucorb;població amb estudis baixos;..;null
2016;Vallfogona de Riucorb;població jove sense estudis postobligatoris;..;null
2016;Vallfogona de Riucorb;estrangers de països de renda baixa o mitjana;;98,6
2016;Vallfogona de Riucorb;renda mitjana per persona;;109,5
2016;Vallgorguina;població ocupada;;106,6
2016;Vallgorguina;treballadors de baixa qualificació;;88,8
2016;Vallgorguina;població amb estudis baixos;..;null
2016;Vallgorguina;població jove sense estudis postobligatoris;..;null
2016;Vallgorguina;estrangers de països de renda baixa o mitjana;;85,7
2016;Vallgorguina;renda mitjana per persona;;98,5
2016;Vallirana;població ocupada;;109,3
2016;Vallirana;treballadors de baixa qualificació;;91,4
2016;Vallirana;població amb estudis baixos;..;null
2016;Vallirana;població jove sense estudis postobligatoris;..;null
2016;Vallirana;estrangers de països de renda baixa o mitjana;;86,3
2016;Vallirana;renda mitjana per persona;;99,2
2016;Vall-llobrega;població ocupada;;112,1
2016;Vall-llobrega;treballadors de baixa qualificació;..;null
2016;Vall-llobrega;població amb estudis baixos;..;null
2016;Vall-llobrega;població jove sense estudis postobligatoris;..;null
2016;Vall-llobrega;estrangers de països de renda baixa o mitjana;;85,7
2016;Vall-llobrega;renda mitjana per persona;;93,3
2016;Vallmoll;població ocupada;;106,8
2016;Vallmoll;treballadors de baixa qualificació;;97,1
2016;Vallmoll;població amb estudis baixos;..;null
2016;Vallmoll;població jove sense estudis postobligatoris;..;null
2016;Vallmoll;estrangers de països de renda baixa o mitjana;;86,7
2016;Vallmoll;renda mitjana per persona;;100,0
2016;Vallromanes;població ocupada;;117,4
2016;Vallromanes;treballadors de baixa qualificació;;81,3
2016;Vallromanes;població amb estudis baixos;..;null
2016;Vallromanes;població jove sense estudis postobligatoris;..;null
2016;Vallromanes;estrangers de països de renda baixa o mitjana;;84,8
2016;Vallromanes;renda mitjana per persona;;125,9
2016;Valls;població ocupada;;100,6
2016;Valls;treballadors de baixa qualificació;;105,4
2016;Valls;població amb estudis baixos;..;null
2016;Valls;població jove sense estudis postobligatoris;..;null
2016;Valls;estrangers de països de renda baixa o mitjana;;103,6
2016;Valls;renda mitjana per persona;;94,5
2016;Valls d'Aguilar, les;població ocupada;;76,0
2016;Valls d'Aguilar, les;treballadors de baixa qualificació;..;null
2016;Valls d'Aguilar, les;població amb estudis baixos;..;null
2016;Valls d'Aguilar, les;població jove sense estudis postobligatoris;..;null
2016;Valls d'Aguilar, les;estrangers de països de renda baixa o mitjana;;81,2
2016;Valls d'Aguilar, les;renda mitjana per persona;;86,7
2016;Valls de Valira, les;població ocupada;;71,1
2016;Valls de Valira, les;treballadors de baixa qualificació;..;null
2016;Valls de Valira, les;població amb estudis baixos;..;null
2016;Valls de Valira, les;població jove sense estudis postobligatoris;..;null
2016;Valls de Valira, les;estrangers de països de renda baixa o mitjana;;84,1
2016;Valls de Valira, les;renda mitjana per persona;;82,5
2016;Vandellòs i l'Hospitalet de l'Infant;població ocupada;;102,3
2016;Vandellòs i l'Hospitalet de l'Infant;treballadors de baixa qualificació;;96,3
2016;Vandellòs i l'Hospitalet de l'Infant;població amb estudis baixos;..;null
2016;Vandellòs i l'Hospitalet de l'Infant;població jove sense estudis postobligatoris;..;null
2016;Vandellòs i l'Hospitalet de l'Infant;estrangers de països de renda baixa o mitjana;;97,9
2016;Vandellòs i l'Hospitalet de l'Infant;renda mitjana per persona;;103,2
2016;Vansa i Fórnols, la;població ocupada;;84,3
2016;Vansa i Fórnols, la;treballadors de baixa qualificació;..;null
2016;Vansa i Fórnols, la;població amb estudis baixos;..;null
2016;Vansa i Fórnols, la;població jove sense estudis postobligatoris;..;null
2016;Vansa i Fórnols, la;estrangers de països de renda baixa o mitjana;;80,1
2016;Vansa i Fórnols, la;renda mitjana per persona;;90,6
2016;Veciana;població ocupada;;125,1
2016;Veciana;treballadors de baixa qualificació;..;null
2016;Veciana;població amb estudis baixos;..;null
2016;Veciana;població jove sense estudis postobligatoris;..;null
2016;Veciana;estrangers de països de renda baixa o mitjana;;81,5
2016;Veciana;renda mitjana per persona;;87,5
2016;Vendrell, el;població ocupada;;82,7
2016;Vendrell, el;treballadors de baixa qualificació;;103,8
2016;Vendrell, el;població amb estudis baixos;..;null
2016;Vendrell, el;població jove sense estudis postobligatoris;..;null
2016;Vendrell, el;estrangers de països de renda baixa o mitjana;;102,7
2016;Vendrell, el;renda mitjana per persona;;89,3
2016;Ventalló;població ocupada;;104,1
2016;Ventalló;treballadors de baixa qualificació;..;null
2016;Ventalló;població amb estudis baixos;..;null
2016;Ventalló;població jove sense estudis postobligatoris;..;null
2016;Ventalló;estrangers de països de renda baixa o mitjana;;100,2
2016;Ventalló;renda mitjana per persona;;98,9
2016;Verdú;població ocupada;;100,8
2016;Verdú;treballadors de baixa qualificació;..;null
2016;Verdú;població amb estudis baixos;..;null
2016;Verdú;població jove sense estudis postobligatoris;..;null
2016;Verdú;estrangers de països de renda baixa o mitjana;;95,9
2016;Verdú;renda mitjana per persona;;88,8
2016;Verges;població ocupada;;105,7
2016;Verges;treballadors de baixa qualificació;;112,3
2016;Verges;població amb estudis baixos;..;null
2016;Verges;població jove sense estudis postobligatoris;..;null
2016;Verges;estrangers de països de renda baixa o mitjana;;105,1
2016;Verges;renda mitjana per persona;;92,7
2016;Vespella de Gaià;població ocupada;;73,6
2016;Vespella de Gaià;treballadors de baixa qualificació;..;null
2016;Vespella de Gaià;població amb estudis baixos;..;null
2016;Vespella de Gaià;població jove sense estudis postobligatoris;..;null
2016;Vespella de Gaià;estrangers de països de renda baixa o mitjana;;87,8
2016;Vespella de Gaià;renda mitjana per persona;;86,9
2016;Vic;població ocupada;;108,1
2016;Vic;treballadors de baixa qualificació;;116,8
2016;Vic;població amb estudis baixos;..;null
2016;Vic;població jove sense estudis postobligatoris;..;null
2016;Vic;estrangers de països de renda baixa o mitjana;;123,5
2016;Vic;renda mitjana per persona;;98,2
2016;Vidrà;població ocupada;;118,8
2016;Vidrà;treballadors de baixa qualificació;..;null
2016;Vidrà;població amb estudis baixos;..;null
2016;Vidrà;població jove sense estudis postobligatoris;..;null
2016;Vidrà;estrangers de països de renda baixa o mitjana;;82,6
2016;Vidrà;renda mitjana per persona;;99,7
2016;Vidreres;població ocupada;;97,0
2016;Vidreres;treballadors de baixa qualificació;;99,6
2016;Vidreres;població amb estudis baixos;..;null
2016;Vidreres;població jove sense estudis postobligatoris;..;null
2016;Vidreres;estrangers de països de renda baixa o mitjana;;94,7
2016;Vidreres;renda mitjana per persona;;90,7
2016;Vielha e Mijaran;població ocupada;;105,6
2016;Vielha e Mijaran;treballadors de baixa qualificació;;91,4
2016;Vielha e Mijaran;població amb estudis baixos;..;null
2016;Vielha e Mijaran;població jove sense estudis postobligatoris;..;null
2016;Vielha e Mijaran;estrangers de països de renda baixa o mitjana;;115,4
2016;Vielha e Mijaran;renda mitjana per persona;;99,0
2016;Vilabella;població ocupada;;108,9
2016;Vilabella;treballadors de baixa qualificació;..;null
2016;Vilabella;població amb estudis baixos;..;null
2016;Vilabella;població jove sense estudis postobligatoris;..;null
2016;Vilabella;estrangers de països de renda baixa o mitjana;;102,7
2016;Vilabella;renda mitjana per persona;;96,2
2016;Vilabertran;població ocupada;;122,0
2016;Vilabertran;treballadors de baixa qualificació;..;null
2016;Vilabertran;població amb estudis baixos;..;null
2016;Vilabertran;població jove sense estudis postobligatoris;..;null
2016;Vilabertran;estrangers de països de renda baixa o mitjana;;85,7
2016;Vilabertran;renda mitjana per persona;;96,5
2016;Vilablareix;població ocupada;;129,8
2016;Vilablareix;treballadors de baixa qualificació;;84,3
2016;Vilablareix;població amb estudis baixos;..;null
2016;Vilablareix;població jove sense estudis postobligatoris;..;null
2016;Vilablareix;estrangers de països de renda baixa o mitjana;;80,9
2016;Vilablareix;renda mitjana per persona;;108,7
2016;Vilada;població ocupada;;92,5
2016;Vilada;treballadors de baixa qualificació;..;null
2016;Vilada;població amb estudis baixos;..;null
2016;Vilada;població jove sense estudis postobligatoris;..;null
2016;Vilada;estrangers de països de renda baixa o mitjana;;79,1
2016;Vilada;renda mitjana per persona;;98,5
2016;Viladamat;població ocupada;;121,2
2016;Viladamat;treballadors de baixa qualificació;..;null
2016;Viladamat;població amb estudis baixos;..;null
2016;Viladamat;població jove sense estudis postobligatoris;..;null
2016;Viladamat;estrangers de països de renda baixa o mitjana;;93,5
2016;Viladamat;renda mitjana per persona;;97,4
2016;Viladasens;població ocupada;;114,0
2016;Viladasens;treballadors de baixa qualificació;..;null
2016;Viladasens;població amb estudis baixos;..;null
2016;Viladasens;població jove sense estudis postobligatoris;..;null
2016;Viladasens;estrangers de països de renda baixa o mitjana;;95,5
2016;Viladasens;renda mitjana per persona;;100,3
2016;Viladecans;població ocupada;;107,9
2016;Viladecans;treballadors de baixa qualificació;;101,1
2016;Viladecans;població amb estudis baixos;..;null
2016;Viladecans;població jove sense estudis postobligatoris;..;null
2016;Viladecans;estrangers de països de renda baixa o mitjana;;90,8
2016;Viladecans;renda mitjana per persona;;96,5
2016;Viladecavalls;població ocupada;;110,5
2016;Viladecavalls;treballadors de baixa qualificació;;92,3
2016;Viladecavalls;població amb estudis baixos;..;null
2016;Viladecavalls;població jove sense estudis postobligatoris;..;null
2016;Viladecavalls;estrangers de països de renda baixa o mitjana;;81,5
2016;Viladecavalls;renda mitjana per persona;;105,5
2016;Vilademuls;població ocupada;;109,0
2016;Vilademuls;treballadors de baixa qualificació;..;null
2016;Vilademuls;població amb estudis baixos;..;null
2016;Vilademuls;població jove sense estudis postobligatoris;..;null
2016;Vilademuls;estrangers de països de renda baixa o mitjana;;89,9
2016;Vilademuls;renda mitjana per persona;;97,3
2016;Viladrau;població ocupada;;125,7
2016;Viladrau;treballadors de baixa qualificació;;101,0
2016;Viladrau;població amb estudis baixos;..;null
2016;Viladrau;població jove sense estudis postobligatoris;..;null
2016;Viladrau;estrangers de països de renda baixa o mitjana;;89,2
2016;Viladrau;renda mitjana per persona;;106,6
2016;Vilafant;població ocupada;;113,9
2016;Vilafant;treballadors de baixa qualificació;;95,0
2016;Vilafant;població amb estudis baixos;..;null
2016;Vilafant;població jove sense estudis postobligatoris;..;null
2016;Vilafant;estrangers de països de renda baixa o mitjana;;86,1
2016;Vilafant;renda mitjana per persona;;95,6
2016;Vilafranca del Penedès;població ocupada;;101,8
2016;Vilafranca del Penedès;treballadors de baixa qualificació;;102,3
2016;Vilafranca del Penedès;població amb estudis baixos;..;null
2016;Vilafranca del Penedès;població jove sense estudis postobligatoris;..;null
2016;Vilafranca del Penedès;estrangers de països de renda baixa o mitjana;;105,4
2016;Vilafranca del Penedès;renda mitjana per persona;;96,1
2016;Vilagrassa;població ocupada;;110,0
2016;Vilagrassa;treballadors de baixa qualificació;..;null
2016;Vilagrassa;població amb estudis baixos;..;null
2016;Vilagrassa;població jove sense estudis postobligatoris;..;null
2016;Vilagrassa;estrangers de països de renda baixa o mitjana;;103,5
2016;Vilagrassa;renda mitjana per persona;;96,4
2016;Vilajuïga;població ocupada;;107,5
2016;Vilajuïga;treballadors de baixa qualificació;;101,2
2016;Vilajuïga;població amb estudis baixos;..;null
2016;Vilajuïga;població jove sense estudis postobligatoris;..;null
2016;Vilajuïga;estrangers de països de renda baixa o mitjana;;90,6
2016;Vilajuïga;renda mitjana per persona;;91,7
2016;Vilalba dels Arcs;població ocupada;;120,7
2016;Vilalba dels Arcs;treballadors de baixa qualificació;..;null
2016;Vilalba dels Arcs;població amb estudis baixos;..;null
2016;Vilalba dels Arcs;població jove sense estudis postobligatoris;..;null
2016;Vilalba dels Arcs;estrangers de països de renda baixa o mitjana;;82,2
2016;Vilalba dels Arcs;renda mitjana per persona;;84,9
2016;Vilalba Sasserra;població ocupada;;128,4
2016;Vilalba Sasserra;treballadors de baixa qualificació;..;null
2016;Vilalba Sasserra;població amb estudis baixos;..;null
2016;Vilalba Sasserra;població jove sense estudis postobligatoris;..;null
2016;Vilalba Sasserra;estrangers de països de renda baixa o mitjana;;85,6
2016;Vilalba Sasserra;renda mitjana per persona;;92,8
2016;Vilaller;població ocupada;;90,9
2016;Vilaller;treballadors de baixa qualificació;..;null
2016;Vilaller;població amb estudis baixos;..;null
2016;Vilaller;població jove sense estudis postobligatoris;..;null
2016;Vilaller;estrangers de països de renda baixa o mitjana;;96,1
2016;Vilaller;renda mitjana per persona;;101,4
2016;Vilallonga de Ter;població ocupada;;120,1
2016;Vilallonga de Ter;treballadors de baixa qualificació;..;null
2016;Vilallonga de Ter;població amb estudis baixos;..;null
2016;Vilallonga de Ter;població jove sense estudis postobligatoris;..;null
2016;Vilallonga de Ter;estrangers de països de renda baixa o mitjana;;104,6
2016;Vilallonga de Ter;renda mitjana per persona;;101,1
2016;Vilallonga del Camp;població ocupada;;115,9
2016;Vilallonga del Camp;treballadors de baixa qualificació;;96,7
2016;Vilallonga del Camp;població amb estudis baixos;..;null
2016;Vilallonga del Camp;població jove sense estudis postobligatoris;..;null
2016;Vilallonga del Camp;estrangers de països de renda baixa o mitjana;;100,2
2016;Vilallonga del Camp;renda mitjana per persona;;94,2
2016;Vilamacolum;població ocupada;;116,7
2016;Vilamacolum;treballadors de baixa qualificació;..;null
2016;Vilamacolum;població amb estudis baixos;..;null
2016;Vilamacolum;població jove sense estudis postobligatoris;..;null
2016;Vilamacolum;estrangers de països de renda baixa o mitjana;;110,9
2016;Vilamacolum;renda mitjana per persona;;93,2
2016;Vilamalla;població ocupada;;119,1
2016;Vilamalla;treballadors de baixa qualificació;;113,5
2016;Vilamalla;població amb estudis baixos;..;null
2016;Vilamalla;població jove sense estudis postobligatoris;..;null
2016;Vilamalla;estrangers de països de renda baixa o mitjana;;84,5
2016;Vilamalla;renda mitjana per persona;;91,1
2016;Vilamaniscle;població ocupada;;91,5
2016;Vilamaniscle;treballadors de baixa qualificació;..;null
2016;Vilamaniscle;població amb estudis baixos;..;null
2016;Vilamaniscle;població jove sense estudis postobligatoris;..;null
2016;Vilamaniscle;estrangers de països de renda baixa o mitjana;;93,2
2016;Vilamaniscle;renda mitjana per persona;;89,4
2016;Vilamòs;població ocupada;;106,4
2016;Vilamòs;treballadors de baixa qualificació;..;null
2016;Vilamòs;població amb estudis baixos;..;null
2016;Vilamòs;població jove sense estudis postobligatoris;..;null
2016;Vilamòs;estrangers de països de renda baixa o mitjana;;79,1
2016;Vilamòs;renda mitjana per persona;;109,5
2016;Vilanant;població ocupada;;110,2
2016;Vilanant;treballadors de baixa qualificació;..;null
2016;Vilanant;població amb estudis baixos;..;null
2016;Vilanant;població jove sense estudis postobligatoris;..;null
2016;Vilanant;estrangers de països de renda baixa o mitjana;;89,7
2016;Vilanant;renda mitjana per persona;;97,6
2016;Vilanova d'Escornalbou;població ocupada;;101,4
2016;Vilanova d'Escornalbou;treballadors de baixa qualificació;..;null
2016;Vilanova d'Escornalbou;població amb estudis baixos;..;null
2016;Vilanova d'Escornalbou;població jove sense estudis postobligatoris;..;null
2016;Vilanova d'Escornalbou;estrangers de països de renda baixa o mitjana;;91,5
2016;Vilanova d'Escornalbou;renda mitjana per persona;;89,8
2016;Vilanova de Bellpuig;població ocupada;;113,1
2016;Vilanova de Bellpuig;treballadors de baixa qualificació;;116,8
2016;Vilanova de Bellpuig;població amb estudis baixos;..;null
2016;Vilanova de Bellpuig;població jove sense estudis postobligatoris;..;null
2016;Vilanova de Bellpuig;estrangers de països de renda baixa o mitjana;;91,5
2016;Vilanova de Bellpuig;renda mitjana per persona;;99,0
2016;Vilanova de l'Aguda;població ocupada;;105,2
2016;Vilanova de l'Aguda;treballadors de baixa qualificació;..;null
2016;Vilanova de l'Aguda;població amb estudis baixos;..;null
2016;Vilanova de l'Aguda;població jove sense estudis postobligatoris;..;null
2016;Vilanova de l'Aguda;estrangers de països de renda baixa o mitjana;;82,9
2016;Vilanova de l'Aguda;renda mitjana per persona;;95,9
2016;Vilanova de la Barca;població ocupada;;109,9
2016;Vilanova de la Barca;treballadors de baixa qualificació;;100,6
2016;Vilanova de la Barca;població amb estudis baixos;..;null
2016;Vilanova de la Barca;població jove sense estudis postobligatoris;..;null
2016;Vilanova de la Barca;estrangers de països de renda baixa o mitjana;;109,0
2016;Vilanova de la Barca;renda mitjana per persona;;92,5
2016;Vilanova de Meià;població ocupada;;122,9
2016;Vilanova de Meià;treballadors de baixa qualificació;..;null
2016;Vilanova de Meià;població amb estudis baixos;..;null
2016;Vilanova de Meià;població jove sense estudis postobligatoris;..;null
2016;Vilanova de Meià;estrangers de països de renda baixa o mitjana;;88,4
2016;Vilanova de Meià;renda mitjana per persona;;102,3
2016;Vilanova de Prades;població ocupada;;118,6
2016;Vilanova de Prades;treballadors de baixa qualificació;..;null
2016;Vilanova de Prades;població amb estudis baixos;..;null
2016;Vilanova de Prades;població jove sense estudis postobligatoris;..;null
2016;Vilanova de Prades;estrangers de països de renda baixa o mitjana;;89,5
2016;Vilanova de Prades;renda mitjana per persona;;80,0
2016;Vilanova de Sau;població ocupada;;117,3
2016;Vilanova de Sau;treballadors de baixa qualificació;..;null
2016;Vilanova de Sau;població amb estudis baixos;..;null
2016;Vilanova de Sau;població jove sense estudis postobligatoris;..;null
2016;Vilanova de Sau;estrangers de països de renda baixa o mitjana;;79,1
2016;Vilanova de Sau;renda mitjana per persona;;98,4
2016;Vilanova de Segrià;població ocupada;;114,1
2016;Vilanova de Segrià;treballadors de baixa qualificació;..;null
2016;Vilanova de Segrià;població amb estudis baixos;..;null
2016;Vilanova de Segrià;població jove sense estudis postobligatoris;..;null
2016;Vilanova de Segrià;estrangers de països de renda baixa o mitjana;;98,4
2016;Vilanova de Segrià;renda mitjana per persona;;91,5
2016;Vilanova del Camí;població ocupada;;96,3
2016;Vilanova del Camí;treballadors de baixa qualificació;;106,9
2016;Vilanova del Camí;població amb estudis baixos;..;null
2016;Vilanova del Camí;població jove sense estudis postobligatoris;..;null
2016;Vilanova del Camí;estrangers de països de renda baixa o mitjana;;88,8
2016;Vilanova del Camí;renda mitjana per persona;;87,8
2016;Vilanova del Vallès;població ocupada;;122,3
2016;Vilanova del Vallès;treballadors de baixa qualificació;;90,9
2016;Vilanova del Vallès;població amb estudis baixos;..;null
2016;Vilanova del Vallès;població jove sense estudis postobligatoris;..;null
2016;Vilanova del Vallès;estrangers de països de renda baixa o mitjana;;82,2
2016;Vilanova del Vallès;renda mitjana per persona;;107,9
2016;Vilanova i la Geltrú;població ocupada;;92,4
2016;Vilanova i la Geltrú;treballadors de baixa qualificació;;94,9
2016;Vilanova i la Geltrú;població amb estudis baixos;..;null
2016;Vilanova i la Geltrú;població jove sense estudis postobligatoris;..;null
2016;Vilanova i la Geltrú;estrangers de països de renda baixa o mitjana;;95,6
2016;Vilanova i la Geltrú;renda mitjana per persona;;98,2
2016;Vilaplana;població ocupada;;105,9
2016;Vilaplana;treballadors de baixa qualificació;..;null
2016;Vilaplana;població amb estudis baixos;..;null
2016;Vilaplana;població jove sense estudis postobligatoris;..;null
2016;Vilaplana;estrangers de països de renda baixa o mitjana;;103,9
2016;Vilaplana;renda mitjana per persona;;104,0
2016;Vila-rodona;població ocupada;;107,2
2016;Vila-rodona;treballadors de baixa qualificació;;119,4
2016;Vila-rodona;població amb estudis baixos;..;null
2016;Vila-rodona;població jove sense estudis postobligatoris;..;null
2016;Vila-rodona;estrangers de països de renda baixa o mitjana;;110,3
2016;Vila-rodona;renda mitjana per persona;;91,2
2016;Vila-sacra;població ocupada;;108,4
2016;Vila-sacra;treballadors de baixa qualificació;..;null
2016;Vila-sacra;població amb estudis baixos;..;null
2016;Vila-sacra;població jove sense estudis postobligatoris;..;null
2016;Vila-sacra;estrangers de països de renda baixa o mitjana;;98,5
2016;Vila-sacra;renda mitjana per persona;;95,7
2016;Vila-sana;població ocupada;;130,0
2016;Vila-sana;treballadors de baixa qualificació;..;null
