mes,comarques i Aran,concepte,sexe,estat,valor
03/2021,Alt Camp,dosis administrades,homes,,2631
03/2021,Alt Camp,dosis administrades,dones,,4843
03/2021,Alt Camp,dosis administrades,total,,7474
03/2021,Alt Camp,persones vacunades amb primera dosi,homes,,1901
03/2021,Alt Camp,persones vacunades amb primera dosi,dones,,3203
03/2021,Alt Camp,persones vacunades amb primera dosi,total,,5104
03/2021,Alt Camp,persones vacunades amb segona dosi,homes,,730
03/2021,Alt Camp,persones vacunades amb segona dosi,dones,,1640
03/2021,Alt Camp,persones vacunades amb segona dosi,total,,2370
03/2021,Alt Camp,persones vacunades amb dosi addicional,homes,,0
03/2021,Alt Camp,persones vacunades amb dosi addicional,dones,,0
03/2021,Alt Camp,persones vacunades amb dosi addicional,total,,0
03/2021,Alt Camp,dosis administrades per cada 100 persones,homes,,11.5
03/2021,Alt Camp,dosis administrades per cada 100 persones,dones,,21.9
03/2021,Alt Camp,dosis administrades per cada 100 persones,total,,16.7
03/2021,Alt Camp,població vacunada amb primera dosi (%),homes,,8.3
03/2021,Alt Camp,població vacunada amb primera dosi (%),dones,,14.5
03/2021,Alt Camp,població vacunada amb primera dosi (%),total,,11.4
03/2021,Alt Camp,població vacunada amb segona dosi (%),homes,,3.2
03/2021,Alt Camp,població vacunada amb segona dosi (%),dones,,7.4
03/2021,Alt Camp,població vacunada amb segona dosi (%),total,,5.3
03/2021,Alt Camp,població vacunada amb dosi addicional (%),homes,,0.0
03/2021,Alt Camp,població vacunada amb dosi addicional (%),dones,,0.0
03/2021,Alt Camp,població vacunada amb dosi addicional (%),total,,0.0
03/2021,Alt Empordà,dosis administrades,homes,,7493
03/2021,Alt Empordà,dosis administrades,dones,,13422
03/2021,Alt Empordà,dosis administrades,total,,20915
03/2021,Alt Empordà,persones vacunades amb primera dosi,homes,,5549
03/2021,Alt Empordà,persones vacunades amb primera dosi,dones,,9189
03/2021,Alt Empordà,persones vacunades amb primera dosi,total,,14738
03/2021,Alt Empordà,persones vacunades amb segona dosi,homes,,1944
03/2021,Alt Empordà,persones vacunades amb segona dosi,dones,,4233
03/2021,Alt Empordà,persones vacunades amb segona dosi,total,,6177
03/2021,Alt Empordà,persones vacunades amb dosi addicional,homes,,0
03/2021,Alt Empordà,persones vacunades amb dosi addicional,dones,,0
03/2021,Alt Empordà,persones vacunades amb dosi addicional,total,,0
03/2021,Alt Empordà,dosis administrades per cada 100 persones,homes,,10.7
03/2021,Alt Empordà,dosis administrades per cada 100 persones,dones,,19.3
03/2021,Alt Empordà,dosis administrades per cada 100 persones,total,,15.0
03/2021,Alt Empordà,població vacunada amb primera dosi (%),homes,,8.0
03/2021,Alt Empordà,població vacunada amb primera dosi (%),dones,,13.2
03/2021,Alt Empordà,població vacunada amb primera dosi (%),total,,10.6
03/2021,Alt Empordà,població vacunada amb segona dosi (%),homes,,2.8
03/2021,Alt Empordà,població vacunada amb segona dosi (%),dones,,6.1
03/2021,Alt Empordà,població vacunada amb segona dosi (%),total,,4.4
03/2021,Alt Empordà,població vacunada amb dosi addicional (%),homes,,0.0
03/2021,Alt Empordà,població vacunada amb dosi addicional (%),dones,,0.0
03/2021,Alt Empordà,població vacunada amb dosi addicional (%),total,,0.0
03/2021,Alt Penedès,dosis administrades,homes,,6049
03/2021,Alt Penedès,dosis administrades,dones,,11092
03/2021,Alt Penedès,dosis administrades,total,,17141
03/2021,Alt Penedès,persones vacunades amb primera dosi,homes,,4383
03/2021,Alt Penedès,persones vacunades amb primera dosi,dones,,7455
03/2021,Alt Penedès,persones vacunades amb primera dosi,total,,11838
03/2021,Alt Penedès,persones vacunades amb segona dosi,homes,,1666
03/2021,Alt Penedès,persones vacunades amb segona dosi,dones,,3637
03/2021,Alt Penedès,persones vacunades amb segona dosi,total,,5303
03/2021,Alt Penedès,persones vacunades amb dosi addicional,homes,,0
03/2021,Alt Penedès,persones vacunades amb dosi addicional,dones,,0
03/2021,Alt Penedès,persones vacunades amb dosi addicional,total,,0
03/2021,Alt Penedès,dosis administrades per cada 100 persones,homes,,11.0
03/2021,Alt Penedès,dosis administrades per cada 100 persones,dones,,20.2
03/2021,Alt Penedès,dosis administrades per cada 100 persones,total,,15.6
03/2021,Alt Penedès,població vacunada amb primera dosi (%),homes,,8.0
03/2021,Alt Penedès,població vacunada amb primera dosi (%),dones,,13.6
03/2021,Alt Penedès,població vacunada amb primera dosi (%),total,,10.8
03/2021,Alt Penedès,població vacunada amb segona dosi (%),homes,,3.0
03/2021,Alt Penedès,població vacunada amb segona dosi (%),dones,,6.6
03/2021,Alt Penedès,població vacunada amb segona dosi (%),total,,4.8
03/2021,Alt Penedès,població vacunada amb dosi addicional (%),homes,,0.0
03/2021,Alt Penedès,població vacunada amb dosi addicional (%),dones,,0.0
03/2021,Alt Penedès,població vacunada amb dosi addicional (%),total,,0.0
03/2021,Alt Urgell,dosis administrades,homes,,1376
03/2021,Alt Urgell,dosis administrades,dones,,2367
03/2021,Alt Urgell,dosis administrades,total,,3743
03/2021,Alt Urgell,persones vacunades amb primera dosi,homes,,990
03/2021,Alt Urgell,persones vacunades amb primera dosi,dones,,1564
03/2021,Alt Urgell,persones vacunades amb primera dosi,total,,2554
03/2021,Alt Urgell,persones vacunades amb segona dosi,homes,,386
03/2021,Alt Urgell,persones vacunades amb segona dosi,dones,,803
03/2021,Alt Urgell,persones vacunades amb segona dosi,total,,1189
03/2021,Alt Urgell,persones vacunades amb dosi addicional,homes,,0
03/2021,Alt Urgell,persones vacunades amb dosi addicional,dones,,0
03/2021,Alt Urgell,persones vacunades amb dosi addicional,total,,0
03/2021,Alt Urgell,dosis administrades per cada 100 persones,homes,,13.7
03/2021,Alt Urgell,dosis administrades per cada 100 persones,dones,,23.7
03/2021,Alt Urgell,dosis administrades per cada 100 persones,total,,18.7
03/2021,Alt Urgell,població vacunada amb primera dosi (%),homes,,9.9
03/2021,Alt Urgell,població vacunada amb primera dosi (%),dones,,15.7
03/2021,Alt Urgell,població vacunada amb primera dosi (%),total,,12.8
03/2021,Alt Urgell,població vacunada amb segona dosi (%),homes,,3.9
03/2021,Alt Urgell,població vacunada amb segona dosi (%),dones,,8.0
03/2021,Alt Urgell,població vacunada amb segona dosi (%),total,,5.9
03/2021,Alt Urgell,població vacunada amb dosi addicional (%),homes,,0.0
03/2021,Alt Urgell,població vacunada amb dosi addicional (%),dones,,0.0
03/2021,Alt Urgell,població vacunada amb dosi addicional (%),total,,0.0
03/2021,Alta Ribagorça,dosis administrades,homes,,326
03/2021,Alta Ribagorça,dosis administrades,dones,,543
03/2021,Alta Ribagorça,dosis administrades,total,,869
03/2021,Alta Ribagorça,persones vacunades amb primera dosi,homes,,232
03/2021,Alta Ribagorça,persones vacunades amb primera dosi,dones,,370
03/2021,Alta Ribagorça,persones vacunades amb primera dosi,total,,602
03/2021,Alta Ribagorça,persones vacunades amb segona dosi,homes,,94
03/2021,Alta Ribagorça,persones vacunades amb segona dosi,dones,,173
03/2021,Alta Ribagorça,persones vacunades amb segona dosi,total,,267
03/2021,Alta Ribagorça,persones vacunades amb dosi addicional,homes,,0
03/2021,Alta Ribagorça,persones vacunades amb dosi addicional,dones,,0
03/2021,Alta Ribagorça,persones vacunades amb dosi addicional,total,,0
03/2021,Alta Ribagorça,dosis administrades per cada 100 persones,homes,,16.3
03/2021,Alta Ribagorça,dosis administrades per cada 100 persones,dones,,29.2
03/2021,Alta Ribagorça,dosis administrades per cada 100 persones,total,,22.5
03/2021,Alta Ribagorça,població vacunada amb primera dosi (%),homes,,11.6
03/2021,Alta Ribagorça,població vacunada amb primera dosi (%),dones,,19.9
03/2021,Alta Ribagorça,població vacunada amb primera dosi (%),total,,15.6
03/2021,Alta Ribagorça,població vacunada amb segona dosi (%),homes,,4.7
03/2021,Alta Ribagorça,població vacunada amb segona dosi (%),dones,,9.3
03/2021,Alta Ribagorça,població vacunada amb segona dosi (%),total,,6.9
03/2021,Alta Ribagorça,població vacunada amb dosi addicional (%),homes,,0.0
03/2021,Alta Ribagorça,població vacunada amb dosi addicional (%),dones,,0.0
03/2021,Alta Ribagorça,població vacunada amb dosi addicional (%),total,,0.0
03/2021,Anoia,dosis administrades,homes,,7689
03/2021,Anoia,dosis administrades,dones,,13668
03/2021,Anoia,dosis administrades,total,,21357
03/2021,Anoia,persones vacunades amb primera dosi,homes,,5655
03/2021,Anoia,persones vacunades amb primera dosi,dones,,9219
03/2021,Anoia,persones vacunades amb primera dosi,total,,14874
03/2021,Anoia,persones vacunades amb segona dosi,homes,,2034
03/2021,Anoia,persones vacunades amb segona dosi,dones,,4449
03/2021,Anoia,persones vacunades amb segona dosi,total,,6483
03/2021,Anoia,persones vacunades amb dosi addicional,homes,,0
03/2021,Anoia,persones vacunades amb dosi addicional,dones,,0
03/2021,Anoia,persones vacunades amb dosi addicional,total,,0
03/2021,Anoia,dosis administrades per cada 100 persones,homes,,12.4
03/2021,Anoia,dosis administrades per cada 100 persones,dones,,22.4
03/2021,Anoia,dosis administrades per cada 100 persones,total,,17.3
03/2021,Anoia,població vacunada amb primera dosi (%),homes,,9.1
03/2021,Anoia,població vacunada amb primera dosi (%),dones,,15.1
03/2021,Anoia,població vacunada amb primera dosi (%),total,,12.1
03/2021,Anoia,població vacunada amb segona dosi (%),homes,,3.3
03/2021,Anoia,població vacunada amb segona dosi (%),dones,,7.3
03/2021,Anoia,població vacunada amb segona dosi (%),total,,5.3
03/2021,Anoia,població vacunada amb dosi addicional (%),homes,,0.0
03/2021,Anoia,població vacunada amb dosi addicional (%),dones,,0.0
03/2021,Anoia,població vacunada amb dosi addicional (%),total,,0.0
03/2021,Aran,dosis administrades,homes,,746
03/2021,Aran,dosis administrades,dones,,1101
03/2021,Aran,dosis administrades,total,,1847
03/2021,Aran,persones vacunades amb primera dosi,homes,,541
03/2021,Aran,persones vacunades amb primera dosi,dones,,736
03/2021,Aran,persones vacunades amb primera dosi,total,,1277
03/2021,Aran,persones vacunades amb segona dosi,homes,,205
03/2021,Aran,persones vacunades amb segona dosi,dones,,365
03/2021,Aran,persones vacunades amb segona dosi,total,,570
03/2021,Aran,persones vacunades amb dosi addicional,homes,,0
03/2021,Aran,persones vacunades amb dosi addicional,dones,,0
03/2021,Aran,persones vacunades amb dosi addicional,total,,0
03/2021,Aran,dosis administrades per cada 100 persones,homes,,14.3
03/2021,Aran,dosis administrades per cada 100 persones,dones,,22.8
03/2021,Aran,dosis administrades per cada 100 persones,total,,18.4
03/2021,Aran,població vacunada amb primera dosi (%),homes,,10.4
03/2021,Aran,població vacunada amb primera dosi (%),dones,,15.2
03/2021,Aran,població vacunada amb primera dosi (%),total,,12.7
03/2021,Aran,població vacunada amb segona dosi (%),homes,,3.9
03/2021,Aran,població vacunada amb segona dosi (%),dones,,7.6
03/2021,Aran,població vacunada amb segona dosi (%),total,,5.7
03/2021,Aran,població vacunada amb dosi addicional (%),homes,,0.0
03/2021,Aran,població vacunada amb dosi addicional (%),dones,,0.0
03/2021,Aran,població vacunada amb dosi addicional (%),total,,0.0
03/2021,Bages,dosis administrades,homes,,11551
03/2021,Bages,dosis administrades,dones,,21365
03/2021,Bages,dosis administrades,total,,32916
03/2021,Bages,persones vacunades amb primera dosi,homes,,8518
03/2021,Bages,persones vacunades amb primera dosi,dones,,14177
03/2021,Bages,persones vacunades amb primera dosi,total,,22695
03/2021,Bages,persones vacunades amb segona dosi,homes,,3033
03/2021,Bages,persones vacunades amb segona dosi,dones,,7188
03/2021,Bages,persones vacunades amb segona dosi,total,,10221
03/2021,Bages,persones vacunades amb dosi addicional,homes,,0
03/2021,Bages,persones vacunades amb dosi addicional,dones,,0
03/2021,Bages,persones vacunades amb dosi addicional,total,,0
03/2021,Bages,dosis administrades per cada 100 persones,homes,,13.0
03/2021,Bages,dosis administrades per cada 100 persones,dones,,23.6
03/2021,Bages,dosis administrades per cada 100 persones,total,,18.4
03/2021,Bages,població vacunada amb primera dosi (%),homes,,9.6
03/2021,Bages,població vacunada amb primera dosi (%),dones,,15.7
03/2021,Bages,població vacunada amb primera dosi (%),total,,12.7
03/2021,Bages,població vacunada amb segona dosi (%),homes,,3.4
03/2021,Bages,població vacunada amb segona dosi (%),dones,,7.9
03/2021,Bages,població vacunada amb segona dosi (%),total,,5.7
03/2021,Bages,població vacunada amb dosi addicional (%),homes,,0.0
03/2021,Bages,població vacunada amb dosi addicional (%),dones,,0.0
03/2021,Bages,població vacunada amb dosi addicional (%),total,,0.0
03/2021,Baix Camp,dosis administrades,homes,,12236
03/2021,Baix Camp,dosis administrades,dones,,22125
03/2021,Baix Camp,dosis administrades,total,,34361
03/2021,Baix Camp,persones vacunades amb primera dosi,homes,,8953
03/2021,Baix Camp,persones vacunades amb primera dosi,dones,,15088
03/2021,Baix Camp,persones vacunades amb primera dosi,total,,24041
03/2021,Baix Camp,persones vacunades amb segona dosi,homes,,3283
03/2021,Baix Camp,persones vacunades amb segona dosi,dones,,7037
03/2021,Baix Camp,persones vacunades amb segona dosi,total,,10320
03/2021,Baix Camp,persones vacunades amb dosi addicional,homes,,0
03/2021,Baix Camp,persones vacunades amb dosi addicional,dones,,0
03/2021,Baix Camp,persones vacunades amb dosi addicional,total,,0
03/2021,Baix Camp,dosis administrades per cada 100 persones,homes,,12.7
03/2021,Baix Camp,dosis administrades per cada 100 persones,dones,,22.4
03/2021,Baix Camp,dosis administrades per cada 100 persones,total,,17.6
03/2021,Baix Camp,població vacunada amb primera dosi (%),homes,,9.3
03/2021,Baix Camp,població vacunada amb primera dosi (%),dones,,15.2
03/2021,Baix Camp,població vacunada amb primera dosi (%),total,,12.3
03/2021,Baix Camp,població vacunada amb segona dosi (%),homes,,3.4
03/2021,Baix Camp,població vacunada amb segona dosi (%),dones,,7.1
03/2021,Baix Camp,població vacunada amb segona dosi (%),total,,5.3
03/2021,Baix Camp,població vacunada amb dosi addicional (%),homes,,0.0
03/2021,Baix Camp,població vacunada amb dosi addicional (%),dones,,0.0
03/2021,Baix Camp,població vacunada amb dosi addicional (%),total,,0.0
03/2021,Baix Ebre,dosis administrades,homes,,6171
03/2021,Baix Ebre,dosis administrades,dones,,10549
03/2021,Baix Ebre,dosis administrades,total,,16720
03/2021,Baix Ebre,persones vacunades amb primera dosi,homes,,4215
03/2021,Baix Ebre,persones vacunades amb primera dosi,dones,,6798
03/2021,Baix Ebre,persones vacunades amb primera dosi,total,,11013
03/2021,Baix Ebre,persones vacunades amb segona dosi,homes,,1956
03/2021,Baix Ebre,persones vacunades amb segona dosi,dones,,3751
03/2021,Baix Ebre,persones vacunades amb segona dosi,total,,5707
03/2021,Baix Ebre,persones vacunades amb dosi addicional,homes,,0
03/2021,Baix Ebre,persones vacunades amb dosi addicional,dones,,0
03/2021,Baix Ebre,persones vacunades amb dosi addicional,total,,0
03/2021,Baix Ebre,dosis administrades per cada 100 persones,homes,,15.7
03/2021,Baix Ebre,dosis administrades per cada 100 persones,dones,,27.2
03/2021,Baix Ebre,dosis administrades per cada 100 persones,total,,21.5
03/2021,Baix Ebre,població vacunada amb primera dosi (%),homes,,10.8
03/2021,Baix Ebre,població vacunada amb primera dosi (%),dones,,17.6
03/2021,Baix Ebre,població vacunada amb primera dosi (%),total,,14.1
03/2021,Baix Ebre,població vacunada amb segona dosi (%),homes,,5.0
03/2021,Baix Ebre,població vacunada amb segona dosi (%),dones,,9.7
03/2021,Baix Ebre,població vacunada amb segona dosi (%),total,,7.3
03/2021,Baix Ebre,població vacunada amb dosi addicional (%),homes,,0.0
03/2021,Baix Ebre,població vacunada amb dosi addicional (%),dones,,0.0
03/2021,Baix Ebre,població vacunada amb dosi addicional (%),total,,0.0
03/2021,Baix Empordà,dosis administrades,homes,,6991
03/2021,Baix Empordà,dosis administrades,dones,,12988
03/2021,Baix Empordà,dosis administrades,total,,19979
03/2021,Baix Empordà,persones vacunades amb primera dosi,homes,,5107
03/2021,Baix Empordà,persones vacunades amb primera dosi,dones,,8787
03/2021,Baix Empordà,persones vacunades amb primera dosi,total,,13894
03/2021,Baix Empordà,persones vacunades amb segona dosi,homes,,1884
03/2021,Baix Empordà,persones vacunades amb segona dosi,dones,,4201
03/2021,Baix Empordà,persones vacunades amb segona dosi,total,,6085
03/2021,Baix Empordà,persones vacunades amb dosi addicional,homes,,0
03/2021,Baix Empordà,persones vacunades amb dosi addicional,dones,,0
03/2021,Baix Empordà,persones vacunades amb dosi addicional,total,,0
03/2021,Baix Empordà,dosis administrades per cada 100 persones,homes,,10.5
03/2021,Baix Empordà,dosis administrades per cada 100 persones,dones,,19.4
03/2021,Baix Empordà,dosis administrades per cada 100 persones,total,,14.9
03/2021,Baix Empordà,població vacunada amb primera dosi (%),homes,,7.7
03/2021,Baix Empordà,població vacunada amb primera dosi (%),dones,,13.1
03/2021,Baix Empordà,població vacunada amb primera dosi (%),total,,10.4
03/2021,Baix Empordà,població vacunada amb segona dosi (%),homes,,2.8
03/2021,Baix Empordà,població vacunada amb segona dosi (%),dones,,6.3
03/2021,Baix Empordà,població vacunada amb segona dosi (%),total,,4.6
03/2021,Baix Empordà,població vacunada amb dosi addicional (%),homes,,0.0
03/2021,Baix Empordà,població vacunada amb dosi addicional (%),dones,,0.0
03/2021,Baix Empordà,població vacunada amb dosi addicional (%),total,,0.0
03/2021,Baix Llobregat,dosis administrades,homes,,50973
03/2021,Baix Llobregat,dosis administrades,dones,,95228
03/2021,Baix Llobregat,dosis administrades,total,,146201
03/2021,Baix Llobregat,persones vacunades amb primera dosi,homes,,36968
03/2021,Baix Llobregat,persones vacunades amb primera dosi,dones,,63609
03/2021,Baix Llobregat,persones vacunades amb primera dosi,total,,100577
03/2021,Baix Llobregat,persones vacunades amb segona dosi,homes,,14005
03/2021,Baix Llobregat,persones vacunades amb segona dosi,dones,,31619
03/2021,Baix Llobregat,persones vacunades amb segona dosi,total,,45624
03/2021,Baix Llobregat,persones vacunades amb dosi addicional,homes,,0
03/2021,Baix Llobregat,persones vacunades amb dosi addicional,dones,,0
03/2021,Baix Llobregat,persones vacunades amb dosi addicional,total,,0
03/2021,Baix Llobregat,dosis administrades per cada 100 persones,homes,,12.5
03/2021,Baix Llobregat,dosis administrades per cada 100 persones,dones,,22.6
03/2021,Baix Llobregat,dosis administrades per cada 100 persones,total,,17.6
03/2021,Baix Llobregat,població vacunada amb primera dosi (%),homes,,9.1
03/2021,Baix Llobregat,població vacunada amb primera dosi (%),dones,,15.1
03/2021,Baix Llobregat,població vacunada amb primera dosi (%),total,,12.1
03/2021,Baix Llobregat,població vacunada amb segona dosi (%),homes,,3.4
03/2021,Baix Llobregat,població vacunada amb segona dosi (%),dones,,7.5
03/2021,Baix Llobregat,població vacunada amb segona dosi (%),total,,5.5
03/2021,Baix Llobregat,població vacunada amb dosi addicional (%),homes,,0.0
03/2021,Baix Llobregat,població vacunada amb dosi addicional (%),dones,,0.0
03/2021,Baix Llobregat,població vacunada amb dosi addicional (%),total,,0.0
03/2021,Baix Penedès,dosis administrades,homes,,5015
03/2021,Baix Penedès,dosis administrades,dones,,9159
03/2021,Baix Penedès,dosis administrades,total,,14174
03/2021,Baix Penedès,persones vacunades amb primera dosi,homes,,3792
03/2021,Baix Penedès,persones vacunades amb primera dosi,dones,,6277
03/2021,Baix Penedès,persones vacunades amb primera dosi,total,,10069
03/2021,Baix Penedès,persones vacunades amb segona dosi,homes,,1223
03/2021,Baix Penedès,persones vacunades amb segona dosi,dones,,2882
03/2021,Baix Penedès,persones vacunades amb segona dosi,total,,4105
03/2021,Baix Penedès,persones vacunades amb dosi addicional,homes,,0
03/2021,Baix Penedès,persones vacunades amb dosi addicional,dones,,0
03/2021,Baix Penedès,persones vacunades amb dosi addicional,total,,0
03/2021,Baix Penedès,dosis administrades per cada 100 persones,homes,,9.3
03/2021,Baix Penedès,dosis administrades per cada 100 persones,dones,,17.2
03/2021,Baix Penedès,dosis administrades per cada 100 persones,total,,13.2
03/2021,Baix Penedès,població vacunada amb primera dosi (%),homes,,7.0
03/2021,Baix Penedès,població vacunada amb primera dosi (%),dones,,11.8
03/2021,Baix Penedès,població vacunada amb primera dosi (%),total,,9.4
03/2021,Baix Penedès,població vacunada amb segona dosi (%),homes,,2.3
03/2021,Baix Penedès,població vacunada amb segona dosi (%),dones,,5.4
03/2021,Baix Penedès,població vacunada amb segona dosi (%),total,,3.8
03/2021,Baix Penedès,població vacunada amb dosi addicional (%),homes,,0.0
03/2021,Baix Penedès,població vacunada amb dosi addicional (%),dones,,0.0
03/2021,Baix Penedès,població vacunada amb dosi addicional (%),total,,0.0
03/2021,Barcelonès,dosis administrades,homes,,154092
03/2021,Barcelonès,dosis administrades,dones,,280448
03/2021,Barcelonès,dosis administrades,total,,434540
03/2021,Barcelonès,persones vacunades amb primera dosi,homes,,106843
03/2021,Barcelonès,persones vacunades amb primera dosi,dones,,183749
03/2021,Barcelonès,persones vacunades amb primera dosi,total,,290592
03/2021,Barcelonès,persones vacunades amb segona dosi,homes,,47249
03/2021,Barcelonès,persones vacunades amb segona dosi,dones,,96699
03/2021,Barcelonès,persones vacunades amb segona dosi,total,,143948
03/2021,Barcelonès,persones vacunades amb dosi addicional,homes,,0
03/2021,Barcelonès,persones vacunades amb dosi addicional,dones,,0
03/2021,Barcelonès,persones vacunades amb dosi addicional,total,,0
03/2021,Barcelonès,dosis administrades per cada 100 persones,homes,,14.1
03/2021,Barcelonès,dosis administrades per cada 100 persones,dones,,23.3
03/2021,Barcelonès,dosis administrades per cada 100 persones,total,,18.9
03/2021,Barcelonès,població vacunada amb primera dosi (%),homes,,9.8
03/2021,Barcelonès,població vacunada amb primera dosi (%),dones,,15.3
03/2021,Barcelonès,població vacunada amb primera dosi (%),total,,12.7
03/2021,Barcelonès,població vacunada amb segona dosi (%),homes,,4.3
03/2021,Barcelonès,població vacunada amb segona dosi (%),dones,,8.0
03/2021,Barcelonès,població vacunada amb segona dosi (%),total,,6.3
03/2021,Barcelonès,població vacunada amb dosi addicional (%),homes,,0.0
03/2021,Barcelonès,població vacunada amb dosi addicional (%),dones,,0.0
03/2021,Barcelonès,població vacunada amb dosi addicional (%),total,,0.0
03/2021,Berguedà,dosis administrades,homes,,2918
03/2021,Berguedà,dosis administrades,dones,,5611
03/2021,Berguedà,dosis administrades,total,,8529
03/2021,Berguedà,persones vacunades amb primera dosi,homes,,2098
03/2021,Berguedà,persones vacunades amb primera dosi,dones,,3671
03/2021,Berguedà,persones vacunades amb primera dosi,total,,5769
03/2021,Berguedà,persones vacunades amb segona dosi,homes,,820
03/2021,Berguedà,persones vacunades amb segona dosi,dones,,1940
03/2021,Berguedà,persones vacunades amb segona dosi,total,,2760
03/2021,Berguedà,persones vacunades amb dosi addicional,homes,,0
03/2021,Berguedà,persones vacunades amb dosi addicional,dones,,0
03/2021,Berguedà,persones vacunades amb dosi addicional,total,,0
03/2021,Berguedà,dosis administrades per cada 100 persones,homes,,14.7
03/2021,Berguedà,dosis administrades per cada 100 persones,dones,,28.2
03/2021,Berguedà,dosis administrades per cada 100 persones,total,,21.4
03/2021,Berguedà,població vacunada amb primera dosi (%),homes,,10.5
03/2021,Berguedà,població vacunada amb primera dosi (%),dones,,18.4
03/2021,Berguedà,població vacunada amb primera dosi (%),total,,14.5
03/2021,Berguedà,població vacunada amb segona dosi (%),homes,,4.1
03/2021,Berguedà,població vacunada amb segona dosi (%),dones,,9.7
03/2021,Berguedà,població vacunada amb segona dosi (%),total,,6.9
03/2021,Berguedà,població vacunada amb dosi addicional (%),homes,,0.0
03/2021,Berguedà,població vacunada amb dosi addicional (%),dones,,0.0
03/2021,Berguedà,població vacunada amb dosi addicional (%),total,,0.0
03/2021,Cerdanya,dosis administrades,homes,,1017
03/2021,Cerdanya,dosis administrades,dones,,1678
03/2021,Cerdanya,dosis administrades,total,,2695
03/2021,Cerdanya,persones vacunades amb primera dosi,homes,,769
03/2021,Cerdanya,persones vacunades amb primera dosi,dones,,1138
03/2021,Cerdanya,persones vacunades amb primera dosi,total,,1907
03/2021,Cerdanya,persones vacunades amb segona dosi,homes,,248
03/2021,Cerdanya,persones vacunades amb segona dosi,dones,,540
03/2021,Cerdanya,persones vacunades amb segona dosi,total,,788
03/2021,Cerdanya,persones vacunades amb dosi addicional,homes,,0
03/2021,Cerdanya,persones vacunades amb dosi addicional,dones,,0
03/2021,Cerdanya,persones vacunades amb dosi addicional,total,,0
03/2021,Cerdanya,dosis administrades per cada 100 persones,homes,,10.8
03/2021,Cerdanya,dosis administrades per cada 100 persones,dones,,18.6
03/2021,Cerdanya,dosis administrades per cada 100 persones,total,,14.6
03/2021,Cerdanya,població vacunada amb primera dosi (%),homes,,8.2
03/2021,Cerdanya,població vacunada amb primera dosi (%),dones,,12.6
03/2021,Cerdanya,població vacunada amb primera dosi (%),total,,10.4
03/2021,Cerdanya,població vacunada amb segona dosi (%),homes,,2.6
03/2021,Cerdanya,població vacunada amb segona dosi (%),dones,,6.0
03/2021,Cerdanya,població vacunada amb segona dosi (%),total,,4.3
03/2021,Cerdanya,població vacunada amb dosi addicional (%),homes,,0.0
03/2021,Cerdanya,població vacunada amb dosi addicional (%),dones,,0.0
03/2021,Cerdanya,població vacunada amb dosi addicional (%),total,,0.0
03/2021,Conca de Barberà,dosis administrades,homes,,1185
03/2021,Conca de Barberà,dosis administrades,dones,,2598
03/2021,Conca de Barberà,dosis administrades,total,,3783
03/2021,Conca de Barberà,persones vacunades amb primera dosi,homes,,895
03/2021,Conca de Barberà,persones vacunades amb primera dosi,dones,,1707
03/2021,Conca de Barberà,persones vacunades amb primera dosi,total,,2602
03/2021,Conca de Barberà,persones vacunades amb segona dosi,homes,,290
03/2021,Conca de Barberà,persones vacunades amb segona dosi,dones,,891
03/2021,Conca de Barberà,persones vacunades amb segona dosi,total,,1181
03/2021,Conca de Barberà,persones vacunades amb dosi addicional,homes,,0
03/2021,Conca de Barberà,persones vacunades amb dosi addicional,dones,,0
03/2021,Conca de Barberà,persones vacunades amb dosi addicional,total,,0
03/2021,Conca de Barberà,dosis administrades per cada 100 persones,homes,,11.7
03/2021,Conca de Barberà,dosis administrades per cada 100 persones,dones,,26.9
03/2021,Conca de Barberà,dosis administrades per cada 100 persones,total,,19.1
03/2021,Conca de Barberà,població vacunada amb primera dosi (%),homes,,8.8
03/2021,Conca de Barberà,població vacunada amb primera dosi (%),dones,,17.7
03/2021,Conca de Barberà,població vacunada amb primera dosi (%),total,,13.1
03/2021,Conca de Barberà,població vacunada amb segona dosi (%),homes,,2.9
03/2021,Conca de Barberà,població vacunada amb segona dosi (%),dones,,9.2
03/2021,Conca de Barberà,població vacunada amb segona dosi (%),total,,6.0
03/2021,Conca de Barberà,població vacunada amb dosi addicional (%),homes,,0.0
03/2021,Conca de Barberà,població vacunada amb dosi addicional (%),dones,,0.0
03/2021,Conca de Barberà,població vacunada amb dosi addicional (%),total,,0.0
03/2021,Garraf,dosis administrades,homes,,8509
03/2021,Garraf,dosis administrades,dones,,14766
03/2021,Garraf,dosis administrades,total,,23275
03/2021,Garraf,persones vacunades amb primera dosi,homes,,6231
03/2021,Garraf,persones vacunades amb primera dosi,dones,,9926
03/2021,Garraf,persones vacunades amb primera dosi,total,,16157
03/2021,Garraf,persones vacunades amb segona dosi,homes,,2278
03/2021,Garraf,persones vacunades amb segona dosi,dones,,4840
03/2021,Garraf,persones vacunades amb segona dosi,total,,7118
03/2021,Garraf,persones vacunades amb dosi addicional,homes,,0
03/2021,Garraf,persones vacunades amb dosi addicional,dones,,0
03/2021,Garraf,persones vacunades amb dosi addicional,total,,0
03/2021,Garraf,dosis administrades per cada 100 persones,homes,,11.5
03/2021,Garraf,dosis administrades per cada 100 persones,dones,,19.4
03/2021,Garraf,dosis administrades per cada 100 persones,total,,15.5
