trimestre,Catalunya,sexe,edat,concepte,estat,valor
T1/2021,Catalunya,total,de 45 a 49 anys,població vacunada amb primera dosi (%),,11.3
T1/2021,Catalunya,total,de 45 a 49 anys,població vacunada amb segona dosi (%),,5.0
T1/2021,Catalunya,total,de 45 a 49 anys,població vacunada amb dosi addicional (%),,0.0
T1/2021,Catalunya,total,de 50 a 54 anys,dosis administrades,,101189
T1/2021,Catalunya,total,de 50 a 54 anys,persones vacunades amb primera dosi,,68995
T1/2021,Catalunya,total,de 50 a 54 anys,persones vacunades amb segona dosi,,32194
T1/2021,Catalunya,total,de 50 a 54 anys,persones vacunades amb dosi addicional,,0
T1/2021,Catalunya,total,de 50 a 54 anys,dosis administrades per cada 100 persones,,17.7
T1/2021,Catalunya,total,de 50 a 54 anys,població vacunada amb primera dosi (%),,12.1
T1/2021,Catalunya,total,de 50 a 54 anys,població vacunada amb segona dosi (%),,5.6
T1/2021,Catalunya,total,de 50 a 54 anys,població vacunada amb dosi addicional (%),,0.0
T1/2021,Catalunya,total,de 55 a 59 anys,dosis administrades,,84457
T1/2021,Catalunya,total,de 55 a 59 anys,persones vacunades amb primera dosi,,50000
T1/2021,Catalunya,total,de 55 a 59 anys,persones vacunades amb segona dosi,,34457
T1/2021,Catalunya,total,de 55 a 59 anys,persones vacunades amb dosi addicional,,0
T1/2021,Catalunya,total,de 55 a 59 anys,dosis administrades per cada 100 persones,,16.5
T1/2021,Catalunya,total,de 55 a 59 anys,població vacunada amb primera dosi (%),,9.8
T1/2021,Catalunya,total,de 55 a 59 anys,població vacunada amb segona dosi (%),,6.7
T1/2021,Catalunya,total,de 55 a 59 anys,població vacunada amb dosi addicional (%),,0.0
T1/2021,Catalunya,total,de 60 a 64 anys,dosis administrades,,162448
T1/2021,Catalunya,total,de 60 a 64 anys,persones vacunades amb primera dosi,,132438
T1/2021,Catalunya,total,de 60 a 64 anys,persones vacunades amb segona dosi,,30010
T1/2021,Catalunya,total,de 60 a 64 anys,persones vacunades amb dosi addicional,,0
T1/2021,Catalunya,total,de 60 a 64 anys,dosis administrades per cada 100 persones,,36.2
T1/2021,Catalunya,total,de 60 a 64 anys,població vacunada amb primera dosi (%),,29.5
T1/2021,Catalunya,total,de 60 a 64 anys,població vacunada amb segona dosi (%),,6.7
T1/2021,Catalunya,total,de 60 a 64 anys,població vacunada amb dosi addicional (%),,0.0
T1/2021,Catalunya,total,de 65 a 69 anys,dosis administrades,,54432
T1/2021,Catalunya,total,de 65 a 69 anys,persones vacunades amb primera dosi,,40888
T1/2021,Catalunya,total,de 65 a 69 anys,persones vacunades amb segona dosi,,13544
T1/2021,Catalunya,total,de 65 a 69 anys,persones vacunades amb dosi addicional,,0
T1/2021,Catalunya,total,de 65 a 69 anys,dosis administrades per cada 100 persones,,14.2
T1/2021,Catalunya,total,de 65 a 69 anys,població vacunada amb primera dosi (%),,10.7
T1/2021,Catalunya,total,de 65 a 69 anys,població vacunada amb segona dosi (%),,3.5
T1/2021,Catalunya,total,de 65 a 69 anys,població vacunada amb dosi addicional (%),,0.0
T1/2021,Catalunya,total,de 70 a 74 anys,dosis administrades,,29200
T1/2021,Catalunya,total,de 70 a 74 anys,persones vacunades amb primera dosi,,17418
T1/2021,Catalunya,total,de 70 a 74 anys,persones vacunades amb segona dosi,,11782
T1/2021,Catalunya,total,de 70 a 74 anys,persones vacunades amb dosi addicional,,0
T1/2021,Catalunya,total,de 70 a 74 anys,dosis administrades per cada 100 persones,,8.2
T1/2021,Catalunya,total,de 70 a 74 anys,població vacunada amb primera dosi (%),,4.9
T1/2021,Catalunya,total,de 70 a 74 anys,població vacunada amb segona dosi (%),,3.3
T1/2021,Catalunya,total,de 70 a 74 anys,població vacunada amb dosi addicional (%),,0.0
T1/2021,Catalunya,total,de 75 a 79 anys,dosis administrades,,40337
T1/2021,Catalunya,total,de 75 a 79 anys,persones vacunades amb primera dosi,,24517
T1/2021,Catalunya,total,de 75 a 79 anys,persones vacunades amb segona dosi,,15820
T1/2021,Catalunya,total,de 75 a 79 anys,persones vacunades amb dosi addicional,,0
T1/2021,Catalunya,total,de 75 a 79 anys,dosis administrades per cada 100 persones,,14.5
T1/2021,Catalunya,total,de 75 a 79 anys,població vacunada amb primera dosi (%),,8.8
T1/2021,Catalunya,total,de 75 a 79 anys,població vacunada amb segona dosi (%),,5.7
T1/2021,Catalunya,total,de 75 a 79 anys,població vacunada amb dosi addicional (%),,0.0
T1/2021,Catalunya,total,80 anys o més,dosis administrades,,439770
T1/2021,Catalunya,total,80 anys o més,persones vacunades amb primera dosi,,286741
T1/2021,Catalunya,total,80 anys o més,persones vacunades amb segona dosi,,153029
T1/2021,Catalunya,total,80 anys o més,persones vacunades amb dosi addicional,,0
T1/2021,Catalunya,total,80 anys o més,dosis administrades per cada 100 persones,,98.3
T1/2021,Catalunya,total,80 anys o més,població vacunada amb primera dosi (%),,64.1
T1/2021,Catalunya,total,80 anys o més,població vacunada amb segona dosi (%),,34.2
T1/2021,Catalunya,total,80 anys o més,població vacunada amb dosi addicional (%),,0.0
T1/2021,Catalunya,total,total,dosis administrades,,1400938
T1/2021,Catalunya,total,total,persones vacunades amb primera dosi,,957513
T1/2021,Catalunya,total,total,persones vacunades amb segona dosi,,443425
T1/2021,Catalunya,total,total,persones vacunades amb dosi addicional,,0
T1/2021,Catalunya,total,total,dosis administrades per cada 100 persones,,18.1
T1/2021,Catalunya,total,total,població vacunada amb primera dosi (%),,12.4
T1/2021,Catalunya,total,total,població vacunada amb segona dosi (%),,5.7
T1/2021,Catalunya,total,total,població vacunada amb dosi addicional (%),,0.0
T2/2021,Catalunya,homes,de 0 a 11 anys,dosis administrades,..,null
T2/2021,Catalunya,homes,de 0 a 11 anys,persones vacunades amb primera dosi,..,null
T2/2021,Catalunya,homes,de 0 a 11 anys,persones vacunades amb segona dosi,..,null
T2/2021,Catalunya,homes,de 0 a 11 anys,persones vacunades amb dosi addicional,,0
T2/2021,Catalunya,homes,de 0 a 11 anys,dosis administrades per cada 100 persones,..,null
T2/2021,Catalunya,homes,de 0 a 11 anys,població vacunada amb primera dosi (%),..,null
T2/2021,Catalunya,homes,de 0 a 11 anys,població vacunada amb segona dosi (%),..,null
T2/2021,Catalunya,homes,de 0 a 11 anys,població vacunada amb dosi addicional (%),,0.0
T2/2021,Catalunya,homes,de 12 a 14 anys,dosis administrades,..,null
T2/2021,Catalunya,homes,de 12 a 14 anys,persones vacunades amb primera dosi,..,null
T2/2021,Catalunya,homes,de 12 a 14 anys,persones vacunades amb segona dosi,..,null
T2/2021,Catalunya,homes,de 12 a 14 anys,persones vacunades amb dosi addicional,,0
T2/2021,Catalunya,homes,de 12 a 14 anys,dosis administrades per cada 100 persones,..,null
T2/2021,Catalunya,homes,de 12 a 14 anys,població vacunada amb primera dosi (%),..,null
T2/2021,Catalunya,homes,de 12 a 14 anys,població vacunada amb segona dosi (%),..,null
T2/2021,Catalunya,homes,de 12 a 14 anys,població vacunada amb dosi addicional (%),,0.0
T2/2021,Catalunya,homes,de 15 a 19 anys,dosis administrades,,8643
T2/2021,Catalunya,homes,de 15 a 19 anys,persones vacunades amb primera dosi,,5637
T2/2021,Catalunya,homes,de 15 a 19 anys,persones vacunades amb segona dosi,,3006
T2/2021,Catalunya,homes,de 15 a 19 anys,persones vacunades amb dosi addicional,,0
T2/2021,Catalunya,homes,de 15 a 19 anys,dosis administrades per cada 100 persones,,4.1
T2/2021,Catalunya,homes,de 15 a 19 anys,població vacunada amb primera dosi (%),,2.7
T2/2021,Catalunya,homes,de 15 a 19 anys,població vacunada amb segona dosi (%),,1.4
T2/2021,Catalunya,homes,de 15 a 19 anys,població vacunada amb dosi addicional (%),,0.0
T2/2021,Catalunya,homes,de 20 a 24 anys,dosis administrades,,28513
T2/2021,Catalunya,homes,de 20 a 24 anys,persones vacunades amb primera dosi,,17216
T2/2021,Catalunya,homes,de 20 a 24 anys,persones vacunades amb segona dosi,,11297
T2/2021,Catalunya,homes,de 20 a 24 anys,persones vacunades amb dosi addicional,,0
T2/2021,Catalunya,homes,de 20 a 24 anys,dosis administrades per cada 100 persones,,13.9
T2/2021,Catalunya,homes,de 20 a 24 anys,població vacunada amb primera dosi (%),,8.4
T2/2021,Catalunya,homes,de 20 a 24 anys,població vacunada amb segona dosi (%),,5.5
T2/2021,Catalunya,homes,de 20 a 24 anys,població vacunada amb dosi addicional (%),,0.0
T2/2021,Catalunya,homes,de 25 a 29 anys,dosis administrades,,36984
T2/2021,Catalunya,homes,de 25 a 29 anys,persones vacunades amb primera dosi,,22061
T2/2021,Catalunya,homes,de 25 a 29 anys,persones vacunades amb segona dosi,,14923
T2/2021,Catalunya,homes,de 25 a 29 anys,persones vacunades amb dosi addicional,,0
T2/2021,Catalunya,homes,de 25 a 29 anys,dosis administrades per cada 100 persones,,16.7
T2/2021,Catalunya,homes,de 25 a 29 anys,població vacunada amb primera dosi (%),,10.0
T2/2021,Catalunya,homes,de 25 a 29 anys,població vacunada amb segona dosi (%),,6.7
T2/2021,Catalunya,homes,de 25 a 29 anys,població vacunada amb dosi addicional (%),,0.0
T2/2021,Catalunya,homes,de 30 a 34 anys,dosis administrades,,62260
T2/2021,Catalunya,homes,de 30 a 34 anys,persones vacunades amb primera dosi,,45616
T2/2021,Catalunya,homes,de 30 a 34 anys,persones vacunades amb segona dosi,,16644
T2/2021,Catalunya,homes,de 30 a 34 anys,persones vacunades amb dosi addicional,,0
T2/2021,Catalunya,homes,de 30 a 34 anys,dosis administrades per cada 100 persones,,27.0
T2/2021,Catalunya,homes,de 30 a 34 anys,població vacunada amb primera dosi (%),,19.7
T2/2021,Catalunya,homes,de 30 a 34 anys,població vacunada amb segona dosi (%),,7.2
T2/2021,Catalunya,homes,de 30 a 34 anys,població vacunada amb dosi addicional (%),,0.0
T2/2021,Catalunya,homes,de 35 a 39 anys,dosis administrades,,149991
T2/2021,Catalunya,homes,de 35 a 39 anys,persones vacunades amb primera dosi,,129899
T2/2021,Catalunya,homes,de 35 a 39 anys,persones vacunades amb segona dosi,,20092
T2/2021,Catalunya,homes,de 35 a 39 anys,persones vacunades amb dosi addicional,,0
T2/2021,Catalunya,homes,de 35 a 39 anys,dosis administrades per cada 100 persones,,55.4
T2/2021,Catalunya,homes,de 35 a 39 anys,població vacunada amb primera dosi (%),,48.0
T2/2021,Catalunya,homes,de 35 a 39 anys,població vacunada amb segona dosi (%),,7.4
T2/2021,Catalunya,homes,de 35 a 39 anys,població vacunada amb dosi addicional (%),,0.0
T2/2021,Catalunya,homes,de 40 a 44 anys,dosis administrades,,247528
T2/2021,Catalunya,homes,de 40 a 44 anys,persones vacunades amb primera dosi,,216324
T2/2021,Catalunya,homes,de 40 a 44 anys,persones vacunades amb segona dosi,,31204
T2/2021,Catalunya,homes,de 40 a 44 anys,persones vacunades amb dosi addicional,,0
T2/2021,Catalunya,homes,de 40 a 44 anys,dosis administrades per cada 100 persones,,74.0
T2/2021,Catalunya,homes,de 40 a 44 anys,població vacunada amb primera dosi (%),,64.7
T2/2021,Catalunya,homes,de 40 a 44 anys,població vacunada amb segona dosi (%),,9.3
T2/2021,Catalunya,homes,de 40 a 44 anys,població vacunada amb dosi addicional (%),,0.0
T2/2021,Catalunya,homes,de 45 a 49 anys,dosis administrades,,335631
T2/2021,Catalunya,homes,de 45 a 49 anys,persones vacunades amb primera dosi,,252347
T2/2021,Catalunya,homes,de 45 a 49 anys,persones vacunades amb segona dosi,,83284
T2/2021,Catalunya,homes,de 45 a 49 anys,persones vacunades amb dosi addicional,,0
T2/2021,Catalunya,homes,de 45 a 49 anys,dosis administrades per cada 100 persones,,103.6
T2/2021,Catalunya,homes,de 45 a 49 anys,població vacunada amb primera dosi (%),,77.9
T2/2021,Catalunya,homes,de 45 a 49 anys,població vacunada amb segona dosi (%),,25.7
T2/2021,Catalunya,homes,de 45 a 49 anys,població vacunada amb dosi addicional (%),,0.0
T2/2021,Catalunya,homes,de 50 a 54 anys,dosis administrades,,421938
T2/2021,Catalunya,homes,de 50 a 54 anys,persones vacunades amb primera dosi,,240582
T2/2021,Catalunya,homes,de 50 a 54 anys,persones vacunades amb segona dosi,,181356
T2/2021,Catalunya,homes,de 50 a 54 anys,persones vacunades amb dosi addicional,,0
T2/2021,Catalunya,homes,de 50 a 54 anys,dosis administrades per cada 100 persones,,146.7
T2/2021,Catalunya,homes,de 50 a 54 anys,població vacunada amb primera dosi (%),,83.7
T2/2021,Catalunya,homes,de 50 a 54 anys,població vacunada amb segona dosi (%),,63.1
T2/2021,Catalunya,homes,de 50 a 54 anys,població vacunada amb dosi addicional (%),,0.0
T2/2021,Catalunya,homes,de 55 a 59 anys,dosis administrades,,406210
T2/2021,Catalunya,homes,de 55 a 59 anys,persones vacunades amb primera dosi,,224716
T2/2021,Catalunya,homes,de 55 a 59 anys,persones vacunades amb segona dosi,,181494
T2/2021,Catalunya,homes,de 55 a 59 anys,persones vacunades amb dosi addicional,,0
T2/2021,Catalunya,homes,de 55 a 59 anys,dosis administrades per cada 100 persones,,162.1
T2/2021,Catalunya,homes,de 55 a 59 anys,població vacunada amb primera dosi (%),,89.7
T2/2021,Catalunya,homes,de 55 a 59 anys,població vacunada amb segona dosi (%),,72.4
T2/2021,Catalunya,homes,de 55 a 59 anys,població vacunada amb dosi addicional (%),,0.0
T2/2021,Catalunya,homes,de 60 a 64 anys,dosis administrades,,307935
T2/2021,Catalunya,homes,de 60 a 64 anys,persones vacunades amb primera dosi,,193020
T2/2021,Catalunya,homes,de 60 a 64 anys,persones vacunades amb segona dosi,,114915
T2/2021,Catalunya,homes,de 60 a 64 anys,persones vacunades amb dosi addicional,,0
T2/2021,Catalunya,homes,de 60 a 64 anys,dosis administrades per cada 100 persones,,143.1
T2/2021,Catalunya,homes,de 60 a 64 anys,població vacunada amb primera dosi (%),,89.7
T2/2021,Catalunya,homes,de 60 a 64 anys,població vacunada amb segona dosi (%),,53.4
T2/2021,Catalunya,homes,de 60 a 64 anys,població vacunada amb dosi addicional (%),,0.0
T2/2021,Catalunya,homes,de 65 a 69 anys,dosis administrades,,232444
T2/2021,Catalunya,homes,de 65 a 69 anys,persones vacunades amb primera dosi,,162351
T2/2021,Catalunya,homes,de 65 a 69 anys,persones vacunades amb segona dosi,,70093
T2/2021,Catalunya,homes,de 65 a 69 anys,persones vacunades amb dosi addicional,,0
T2/2021,Catalunya,homes,de 65 a 69 anys,dosis administrades per cada 100 persones,,129.1
T2/2021,Catalunya,homes,de 65 a 69 anys,població vacunada amb primera dosi (%),,90.1
T2/2021,Catalunya,homes,de 65 a 69 anys,població vacunada amb segona dosi (%),,38.9
T2/2021,Catalunya,homes,de 65 a 69 anys,població vacunada amb dosi addicional (%),,0.0
T2/2021,Catalunya,homes,de 70 a 74 anys,dosis administrades,,288750
T2/2021,Catalunya,homes,de 70 a 74 anys,persones vacunades amb primera dosi,,151225
T2/2021,Catalunya,homes,de 70 a 74 anys,persones vacunades amb segona dosi,,137525
T2/2021,Catalunya,homes,de 70 a 74 anys,persones vacunades amb dosi addicional,,0
T2/2021,Catalunya,homes,de 70 a 74 anys,dosis administrades per cada 100 persones,,177.4
T2/2021,Catalunya,homes,de 70 a 74 anys,població vacunada amb primera dosi (%),,92.9
T2/2021,Catalunya,homes,de 70 a 74 anys,població vacunada amb segona dosi (%),,84.5
T2/2021,Catalunya,homes,de 70 a 74 anys,població vacunada amb dosi addicional (%),,0.0
T2/2021,Catalunya,homes,de 75 a 79 anys,dosis administrades,,235741
T2/2021,Catalunya,homes,de 75 a 79 anys,persones vacunades amb primera dosi,,118800
T2/2021,Catalunya,homes,de 75 a 79 anys,persones vacunades amb segona dosi,,116941
T2/2021,Catalunya,homes,de 75 a 79 anys,persones vacunades amb dosi addicional,,0
T2/2021,Catalunya,homes,de 75 a 79 anys,dosis administrades per cada 100 persones,,191.8
T2/2021,Catalunya,homes,de 75 a 79 anys,població vacunada amb primera dosi (%),,96.7
T2/2021,Catalunya,homes,de 75 a 79 anys,població vacunada amb segona dosi (%),,95.1
T2/2021,Catalunya,homes,de 75 a 79 anys,població vacunada amb dosi addicional (%),,0.0
T2/2021,Catalunya,homes,80 anys o més,dosis administrades,,312494
T2/2021,Catalunya,homes,80 anys o més,persones vacunades amb primera dosi,,156888
T2/2021,Catalunya,homes,80 anys o més,persones vacunades amb segona dosi,,155606
T2/2021,Catalunya,homes,80 anys o més,persones vacunades amb dosi addicional,,0
T2/2021,Catalunya,homes,80 anys o més,dosis administrades per cada 100 persones,,191.0
T2/2021,Catalunya,homes,80 anys o més,població vacunada amb primera dosi (%),,95.9
T2/2021,Catalunya,homes,80 anys o més,població vacunada amb segona dosi (%),,95.1
T2/2021,Catalunya,homes,80 anys o més,població vacunada amb dosi addicional (%),,0.0
T2/2021,Catalunya,homes,total,dosis administrades,,3075479
T2/2021,Catalunya,homes,total,persones vacunades amb primera dosi,,1937090
T2/2021,Catalunya,homes,total,persones vacunades amb segona dosi,,1138389
T2/2021,Catalunya,homes,total,persones vacunades amb dosi addicional,,0
T2/2021,Catalunya,homes,total,dosis administrades per cada 100 persones,,81.2
T2/2021,Catalunya,homes,total,població vacunada amb primera dosi (%),,51.1
T2/2021,Catalunya,homes,total,població vacunada amb segona dosi (%),,30.1
T2/2021,Catalunya,homes,total,població vacunada amb dosi addicional (%),,0.0
T2/2021,Catalunya,dones,de 0 a 11 anys,dosis administrades,..,null
T2/2021,Catalunya,dones,de 0 a 11 anys,persones vacunades amb primera dosi,..,null
T2/2021,Catalunya,dones,de 0 a 11 anys,persones vacunades amb segona dosi,..,null
T2/2021,Catalunya,dones,de 0 a 11 anys,persones vacunades amb dosi addicional,,0
T2/2021,Catalunya,dones,de 0 a 11 anys,dosis administrades per cada 100 persones,..,null
T2/2021,Catalunya,dones,de 0 a 11 anys,població vacunada amb primera dosi (%),..,null
T2/2021,Catalunya,dones,de 0 a 11 anys,població vacunada amb segona dosi (%),..,null
T2/2021,Catalunya,dones,de 0 a 11 anys,població vacunada amb dosi addicional (%),,0.0
T2/2021,Catalunya,dones,de 12 a 14 anys,dosis administrades,..,null
T2/2021,Catalunya,dones,de 12 a 14 anys,persones vacunades amb primera dosi,..,null
T2/2021,Catalunya,dones,de 12 a 14 anys,persones vacunades amb segona dosi,..,null
T2/2021,Catalunya,dones,de 12 a 14 anys,persones vacunades amb dosi addicional,,0
T2/2021,Catalunya,dones,de 12 a 14 anys,dosis administrades per cada 100 persones,..,null
T2/2021,Catalunya,dones,de 12 a 14 anys,població vacunada amb primera dosi (%),..,null
T2/2021,Catalunya,dones,de 12 a 14 anys,població vacunada amb segona dosi (%),..,null
T2/2021,Catalunya,dones,de 12 a 14 anys,població vacunada amb dosi addicional (%),,0.0
T2/2021,Catalunya,dones,de 15 a 19 anys,dosis administrades,,17994
T2/2021,Catalunya,dones,de 15 a 19 anys,persones vacunades amb primera dosi,,11032
T2/2021,Catalunya,dones,de 15 a 19 anys,persones vacunades amb segona dosi,,6962
T2/2021,Catalunya,dones,de 15 a 19 anys,persones vacunades amb dosi addicional,,0
T2/2021,Catalunya,dones,de 15 a 19 anys,dosis administrades per cada 100 persones,,9.3
T2/2021,Catalunya,dones,de 15 a 19 anys,població vacunada amb primera dosi (%),,5.7
T2/2021,Catalunya,dones,de 15 a 19 anys,població vacunada amb segona dosi (%),,3.6
T2/2021,Catalunya,dones,de 15 a 19 anys,població vacunada amb dosi addicional (%),,0.0
T2/2021,Catalunya,dones,de 20 a 24 anys,dosis administrades,,66063
T2/2021,Catalunya,dones,de 20 a 24 anys,persones vacunades amb primera dosi,,37470
T2/2021,Catalunya,dones,de 20 a 24 anys,persones vacunades amb segona dosi,,28593
T2/2021,Catalunya,dones,de 20 a 24 anys,persones vacunades amb dosi addicional,,0
T2/2021,Catalunya,dones,de 20 a 24 anys,dosis administrades per cada 100 persones,,34.6
T2/2021,Catalunya,dones,de 20 a 24 anys,població vacunada amb primera dosi (%),,19.6
T2/2021,Catalunya,dones,de 20 a 24 anys,població vacunada amb segona dosi (%),,15.0
T2/2021,Catalunya,dones,de 20 a 24 anys,població vacunada amb dosi addicional (%),,0.0
T2/2021,Catalunya,dones,de 25 a 29 anys,dosis administrades,,78674
T2/2021,Catalunya,dones,de 25 a 29 anys,persones vacunades amb primera dosi,,43845
T2/2021,Catalunya,dones,de 25 a 29 anys,persones vacunades amb segona dosi,,34829
T2/2021,Catalunya,dones,de 25 a 29 anys,persones vacunades amb dosi addicional,,0
T2/2021,Catalunya,dones,de 25 a 29 anys,dosis administrades per cada 100 persones,,36.4
T2/2021,Catalunya,dones,de 25 a 29 anys,població vacunada amb primera dosi (%),,20.3
T2/2021,Catalunya,dones,de 25 a 29 anys,població vacunada amb segona dosi (%),,16.1
T2/2021,Catalunya,dones,de 25 a 29 anys,població vacunada amb dosi addicional (%),,0.0
T2/2021,Catalunya,dones,de 30 a 34 anys,dosis administrades,,97598
T2/2021,Catalunya,dones,de 30 a 34 anys,persones vacunades amb primera dosi,,62691
T2/2021,Catalunya,dones,de 30 a 34 anys,persones vacunades amb segona dosi,,34907
T2/2021,Catalunya,dones,de 30 a 34 anys,persones vacunades amb dosi addicional,,0
T2/2021,Catalunya,dones,de 30 a 34 anys,dosis administrades per cada 100 persones,,41.5
T2/2021,Catalunya,dones,de 30 a 34 anys,població vacunada amb primera dosi (%),,26.7
T2/2021,Catalunya,dones,de 30 a 34 anys,població vacunada amb segona dosi (%),,14.8
T2/2021,Catalunya,dones,de 30 a 34 anys,població vacunada amb dosi addicional (%),,0.0
T2/2021,Catalunya,dones,de 35 a 39 anys,dosis administrades,,183341
T2/2021,Catalunya,dones,de 35 a 39 anys,persones vacunades amb primera dosi,,142082
T2/2021,Catalunya,dones,de 35 a 39 anys,persones vacunades amb segona dosi,,41259
T2/2021,Catalunya,dones,de 35 a 39 anys,persones vacunades amb dosi addicional,,0
T2/2021,Catalunya,dones,de 35 a 39 anys,dosis administrades per cada 100 persones,,66.8
T2/2021,Catalunya,dones,de 35 a 39 anys,població vacunada amb primera dosi (%),,51.8
T2/2021,Catalunya,dones,de 35 a 39 anys,població vacunada amb segona dosi (%),,15.0
T2/2021,Catalunya,dones,de 35 a 39 anys,població vacunada amb dosi addicional (%),,0.0
T2/2021,Catalunya,dones,de 40 a 44 anys,dosis administrades,,283366
T2/2021,Catalunya,dones,de 40 a 44 anys,persones vacunades amb primera dosi,,224389
T2/2021,Catalunya,dones,de 40 a 44 anys,persones vacunades amb segona dosi,,58977
T2/2021,Catalunya,dones,de 40 a 44 anys,persones vacunades amb dosi addicional,,0
T2/2021,Catalunya,dones,de 40 a 44 anys,dosis administrades per cada 100 persones,,87.0
T2/2021,Catalunya,dones,de 40 a 44 anys,població vacunada amb primera dosi (%),,68.9
T2/2021,Catalunya,dones,de 40 a 44 anys,població vacunada amb segona dosi (%),,18.1
T2/2021,Catalunya,dones,de 40 a 44 anys,població vacunada amb dosi addicional (%),,0.0
T2/2021,Catalunya,dones,de 45 a 49 anys,dosis administrades,,357570
T2/2021,Catalunya,dones,de 45 a 49 anys,persones vacunades amb primera dosi,,252491
T2/2021,Catalunya,dones,de 45 a 49 anys,persones vacunades amb segona dosi,,105079
T2/2021,Catalunya,dones,de 45 a 49 anys,persones vacunades amb dosi addicional,,0
T2/2021,Catalunya,dones,de 45 a 49 anys,dosis administrades per cada 100 persones,,114.1
T2/2021,Catalunya,dones,de 45 a 49 anys,població vacunada amb primera dosi (%),,80.6
T2/2021,Catalunya,dones,de 45 a 49 anys,població vacunada amb segona dosi (%),,33.5
T2/2021,Catalunya,dones,de 45 a 49 anys,població vacunada amb dosi addicional (%),,0.0
T2/2021,Catalunya,dones,de 50 a 54 anys,dosis administrades,,432002
T2/2021,Catalunya,dones,de 50 a 54 anys,persones vacunades amb primera dosi,,241065
T2/2021,Catalunya,dones,de 50 a 54 anys,persones vacunades amb segona dosi,,190937
T2/2021,Catalunya,dones,de 50 a 54 anys,persones vacunades amb dosi addicional,,0
T2/2021,Catalunya,dones,de 50 a 54 anys,dosis administrades per cada 100 persones,,151.6
T2/2021,Catalunya,dones,de 50 a 54 anys,població vacunada amb primera dosi (%),,84.6
T2/2021,Catalunya,dones,de 50 a 54 anys,població vacunada amb segona dosi (%),,67.0
T2/2021,Catalunya,dones,de 50 a 54 anys,població vacunada amb dosi addicional (%),,0.0
T2/2021,Catalunya,dones,de 55 a 59 anys,dosis administrades,,420670
T2/2021,Catalunya,dones,de 55 a 59 anys,persones vacunades amb primera dosi,,229927
T2/2021,Catalunya,dones,de 55 a 59 anys,persones vacunades amb segona dosi,,190743
T2/2021,Catalunya,dones,de 55 a 59 anys,persones vacunades amb dosi addicional,,0
T2/2021,Catalunya,dones,de 55 a 59 anys,dosis administrades per cada 100 persones,,161.2
T2/2021,Catalunya,dones,de 55 a 59 anys,població vacunada amb primera dosi (%),,88.1
T2/2021,Catalunya,dones,de 55 a 59 anys,població vacunada amb segona dosi (%),,73.1
T2/2021,Catalunya,dones,de 55 a 59 anys,població vacunada amb dosi addicional (%),,0.0
T2/2021,Catalunya,dones,de 60 a 64 anys,dosis administrades,,326681
T2/2021,Catalunya,dones,de 60 a 64 anys,persones vacunades amb primera dosi,,206679
T2/2021,Catalunya,dones,de 60 a 64 anys,persones vacunades amb segona dosi,,120002
T2/2021,Catalunya,dones,de 60 a 64 anys,persones vacunades amb dosi addicional,,0
T2/2021,Catalunya,dones,de 60 a 64 anys,dosis administrades per cada 100 persones,,139.7
T2/2021,Catalunya,dones,de 60 a 64 anys,població vacunada amb primera dosi (%),,88.4
T2/2021,Catalunya,dones,de 60 a 64 anys,població vacunada amb segona dosi (%),,51.3
T2/2021,Catalunya,dones,de 60 a 64 anys,població vacunada amb dosi addicional (%),,0.0
T2/2021,Catalunya,dones,de 65 a 69 anys,dosis administrades,,252393
T2/2021,Catalunya,dones,de 65 a 69 anys,persones vacunades amb primera dosi,,181637
T2/2021,Catalunya,dones,de 65 a 69 anys,persones vacunades amb segona dosi,,70756
T2/2021,Catalunya,dones,de 65 a 69 anys,persones vacunades amb dosi addicional,,0
T2/2021,Catalunya,dones,de 65 a 69 anys,dosis administrades per cada 100 persones,,124.1
T2/2021,Catalunya,dones,de 65 a 69 anys,població vacunada amb primera dosi (%),,89.3
T2/2021,Catalunya,dones,de 65 a 69 anys,població vacunada amb segona dosi (%),,34.8
T2/2021,Catalunya,dones,de 65 a 69 anys,població vacunada amb dosi addicional (%),,0.0
T2/2021,Catalunya,dones,de 70 a 74 anys,dosis administrades,,342491
T2/2021,Catalunya,dones,de 70 a 74 anys,persones vacunades amb primera dosi,,178608
T2/2021,Catalunya,dones,de 70 a 74 anys,persones vacunades amb segona dosi,,163883
T2/2021,Catalunya,dones,de 70 a 74 anys,persones vacunades amb dosi addicional,,0
T2/2021,Catalunya,dones,de 70 a 74 anys,dosis administrades per cada 100 persones,,177.7
T2/2021,Catalunya,dones,de 70 a 74 anys,població vacunada amb primera dosi (%),,92.7
T2/2021,Catalunya,dones,de 70 a 74 anys,població vacunada amb segona dosi (%),,85.0
T2/2021,Catalunya,dones,de 70 a 74 anys,població vacunada amb dosi addicional (%),,0.0
T2/2021,Catalunya,dones,de 75 a 79 anys,dosis administrades,,297436
T2/2021,Catalunya,dones,de 75 a 79 anys,persones vacunades amb primera dosi,,149906
T2/2021,Catalunya,dones,de 75 a 79 anys,persones vacunades amb segona dosi,,147530
T2/2021,Catalunya,dones,de 75 a 79 anys,persones vacunades amb dosi addicional,,0
T2/2021,Catalunya,dones,de 75 a 79 anys,dosis administrades per cada 100 persones,,192.4
T2/2021,Catalunya,dones,de 75 a 79 anys,població vacunada amb primera dosi (%),,97.0
T2/2021,Catalunya,dones,de 75 a 79 anys,població vacunada amb segona dosi (%),,95.4
